event_id,source,site_id,location_name,lat,lon,coord_precision_km,coord_source,datetime_utc,time_precision,species,common_name,taxon_group,ecotype,call_type,n_detections,source_ref
24907,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:37:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24908,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:39:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24909,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:42:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24910,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:44:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24911,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-21T16:48:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24912,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-23T07:00:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24913,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-23T07:01:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24914,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-23T07:02:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
24915,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-23T07:03:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24916,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-23T07:04:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24917,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-23T07:05:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24918,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-23T07:05:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-D,1,Casey2014.Bm.D.selections.txt
24919,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-23T07:06:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-D,1,Casey2014.Bm.D.selections.txt
24920,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-23T07:09:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,1,Casey2014.Bm.Ant-A.selections.txt
24921,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-23T07:12:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-A,2,Casey2014.Bm.Ant-A.selections.txt
24922,aad,aad:casey2014,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0,aad_folderStructure,2014-02-23T07:13:00Z,minute,Balaenoptera musculus intermedia,Antarctic blue whale,baleen whale,,Bm-Ant-B,1,Casey2014.Bm.Ant-B.selections.txt
