site_id,source,provider,name,lat,lon,coord_precision_km
dclde:MS_6897,dclde,UAF_NGOS,"Montague Strait, PWS",60.18,-147.82,5.0
dclde:Quin_Can,dclde,SIO,Quinault Canyon HARP,47.5,-125.35,1.0
dclde:RB_335826997,dclde,UAF_NGOS,Resurrection Bay,59.73,-149.53,5.0
dclde:RB_67424266,dclde,UAF_NGOS,Resurrection Bay,59.73,-149.53,5.0
dclde:StraitofGeorgia,dclde,JASCO_VFPA_ONC,Strait of Georgia (ONC node),49.04,-123.32,1.0
dclde:Tekteksen,dclde,SIMRES,"Tekteksen, Saturna Island",48.78,-123.05,1.0
dclde:bush_point,dclde,OrcaSound,"Bush Point, Whidbey Island",48.03,-122.61,1.0
dclde:orcasound_lab,dclde,OrcaSound,"Orcasound Lab, Haro Strait",48.52,-123.16,1.0
dclde:port_townsend,dclde,OrcaSound,Port Townsend,48.14,-122.76,1.0
aad:BallenyIslands2015,aad,AAD / IWC-SORP,Balleny Islands 2015 (Southern Ocean mooring),-65.3557,167.9115,1.0
aad:ElephantIsland2013Aural,aad,AAD / IWC-SORP,Elephant Island 2013 (Southern Ocean mooring),-61.0147,-55.9755,1.0
aad:ElephantIsland2014,aad,AAD / IWC-SORP,Elephant Island 2014 (Southern Ocean mooring),-61.0147,-55.9755,1.0
aad:Greenwich64S2015,aad,AAD / IWC-SORP,G64 2015 (Southern Ocean mooring),-64.0053,0.0037,1.0
aad:MaudRise2014,aad,AAD / IWC-SORP,Maud Rise 2014 (Southern Ocean mooring),-65.0,2.5,1.0
aad:RossSea2014,aad,AAD / IWC-SORP,Ross sea 2014 (Southern Ocean mooring),-75.0198,164.5918,1.0
aad:casey2014,aad,AAD / IWC-SORP,Casey 2014 (Southern Ocean mooring),-63.7955,111.7872,1.0
aad:casey2017,aad,AAD / IWC-SORP,Casey 2017 (Southern Ocean mooring),-63.7955,111.7872,1.0
aad:kerguelen2005,aad,AAD / IWC-SORP,S Kerguelen 2005 (Southern Ocean mooring),-62.5907,81.2607,1.0
aad:kerguelen2014,aad,AAD / IWC-SORP,S Kerguelen 2014 (Southern Ocean mooring),-62.3802,81.7968,1.0
aad:kerguelen2015,aad,AAD / IWC-SORP,S Kerguelen 2015 (Southern Ocean mooring),-62.3802,81.7968,1.0
